,Taxonomy,Parent,Child
107,CoRel1,veggies,mayo
108,CoRel1,veggies,fried egg
109,CoRel1,veggies,pickled onions
110,CoRel1,veggies,fixings
111,CoRel1,veggies,brioche bun
112,CoRel1,veggies,condiments
113,CoRel1,veggies,pickles
114,CoRel1,veggies,secret sauce
115,CoRel1,veggies,sour cream
116,CoRel1,veggies,cole slaw
117,CoRel1,veggies,bun
118,CoRel1,veggies,thousand island dressing
119,CoRel1,veggies,mustard
120,CoRel1,veggies,mayonnaise
121,CoRel1,veggies,coleslaw
122,CoRel1,veggies,spicy mayo
123,CoRel1,veggies,piled
124,CoRel1,veggies,shredded lettuce
125,CoRel1,veggies,relish
126,CoRel1,veggies,toasted bun
127,CoRel1,veggies,smashed
128,CoRel1,veggies,slathered
129,CoRel1,veggies,piled high
130,CoRel1,veggies,kim chi
131,CoRel1,veggies,melted cheese
132,CoRel1,veggies,grilled onions
133,CoRel1,veggies,hamburger bun
134,CoRel1,veggies,pickle
135,CoRel1,veggies,pretzel bun
136,CoRel1,veggies,ketchup
137,CoRel1,veggies,furikake
138,CoRel1,veggies,aoli
139,CoRel1,veggies,hot link
140,CoRel1,veggies,dijon mustard
141,CoRel1,veggies,pile
142,CoRel1,veggies,hamburger patty
143,CoRel1,veggies,tartar sauce
144,CoRel1,veggies,perfectly toasted
145,CoRel1,veggies,pico
146,CoRel1,veggies,nori
147,CoRel1,veggies,daikon
148,CoRel1,veggies,shoestring fries
149,CoRel1,veggies,cheddar cheese
150,CoRel1,beef,general tao
151,CoRel1,beef,chow fun
152,CoRel1,beef,satay
153,CoRel1,beef,fried noodles
154,CoRel1,beef,stir fried
155,CoRel1,beef,kung pao
156,CoRel1,beef,chow mein
157,CoRel1,beef,fried rice
158,CoRel1,beef,lo mein
159,CoRel1,beef,orange chicken
160,CoRel1,beef,sweet sour
161,CoRel1,beef,general tao chicken
162,CoRel1,beef,pad see ew
163,CoRel1,beef,mongolian
164,CoRel1,beef,chop suey
165,CoRel1,beef,kung pao chicken
166,CoRel1,beef,chow mien
167,CoRel1,beef,fried dumplings
168,CoRel1,beef,won ton soup
169,CoRel1,beef,fried tofu
170,CoRel1,beef,vermicelli
171,CoRel1,beef,wontons
172,CoRel1,beef,teriyaki
173,CoRel1,beef,beef chow fun
174,CoRel1,beef,pan fried noodles
175,CoRel1,beef,noodle soup
176,CoRel1,beef,hot sour soup
177,CoRel1,beef,house special
178,CoRel1,beef,tom yum soup
179,CoRel1,beef,yakisoba
180,CoRel1,beef,egg rolls
181,CoRel1,beef,tofu
182,CoRel1,beef,noddles
183,CoRel1,beef,thai style
184,CoRel1,beef,spring roll
185,CoRel1,beef,noodle dish
186,CoRel1,beef,wonton
187,CoRel1,beef,pot stickers
188,CoRel1,beef,stir fry
189,CoRel1,beef,szechwan
190,CoRel1,beef,steamed rice
191,CoRel1,beef,pad thai
192,CoRel1,beef,vegetable
193,CoRel1,beef,spring rolls
194,CoRel1,beef,chicken katsu
195,CoRel1,beef,larb
196,CoRel1,beef,lamb skewers
197,CoRel1,beef,chicken balls
198,CoRel1,beef,pad kee mao
199,CoRel1,beef,singapore
200,CoRel1,steak,rib steak
201,CoRel1,steak,sirloin steak
202,CoRel1,steak,tenderloin
203,CoRel1,steak,porterhouse
204,CoRel1,steak,flank steak
205,CoRel1,steak,sirloin
206,CoRel1,steak,rib eye
207,CoRel1,steak,cooked medium
208,CoRel1,steak,ribeye
209,CoRel1,steak,rib
210,CoRel1,steak,med rare
211,CoRel1,steak,cooked medium rare
212,CoRel1,steak,medium rare
213,CoRel1,steak,filet
214,CoRel1,steak,ribeye steak
215,CoRel1,steak,striploin
216,CoRel1,steak,bone
217,CoRel1,steak,boneless
218,CoRel1,steak,filet mignon
219,CoRel1,steak,bone in rib eye
220,CoRel1,steak,flank
221,CoRel1,steak,fillet
222,CoRel1,steak,6oz
223,CoRel1,steak,med
224,CoRel1,steak,prime rib
225,CoRel1,steak,rare steak
226,CoRel1,steak,chop
227,CoRel1,steak,10oz
228,CoRel1,steak,filets
229,CoRel1,steak,delmonico
230,CoRel1,steak,rare
231,CoRel1,steak,tri tip
232,CoRel1,steak,medium
233,CoRel1,steak,rib eye steak
234,CoRel1,steak,gristly
235,CoRel1,steak,fillet mignon
236,CoRel1,steak,lamb chops
237,CoRel1,steak,chops
238,CoRel1,steak,shoe leather
239,CoRel1,steak,chicken thigh
240,CoRel1,steak,steaks
241,CoRel1,steak,dry aged
242,CoRel1,steak,beef kabob
243,CoRel1,steak,kobe
244,CoRel1,steak,orderd
245,CoRel1,steak,oz
246,CoRel1,steak,angus
247,CoRel1,steak,lobster tail
248,CoRel1,steak,shanks
249,CoRel1,steak,8oz
250,CoRel1,steak,tomatos
251,CoRel1,steak,cucumbers
252,CoRel1,steak,green peppers
253,CoRel1,steak,tomatoes
254,CoRel1,steak,romaine lettuce
255,CoRel1,steak,diced
256,CoRel1,steak,peppers
257,CoRel1,steak,jalape os
258,CoRel1,steak,lettuce
259,CoRel1,steak,banana peppers
260,CoRel1,steak,bell peppers
261,CoRel1,steak,red peppers
262,CoRel1,steak,onions
263,CoRel1,steak,bell pepper
264,CoRel1,steak,jalapenos
265,CoRel1,steak,shredded lettuce
266,CoRel1,steak,shredded
267,CoRel1,steak,red onion
268,CoRel1,steak,green onions
269,CoRel1,steak,diced tomatoes
270,CoRel1,steak,iceberg
271,CoRel1,steak,avocados
272,CoRel1,steak,grilled onions
273,CoRel1,steak,spring mix
274,CoRel1,steak,basil leaves
275,CoRel1,steak,hot peppers
276,CoRel1,steak,cilantro
277,CoRel1,steak,carrots
278,CoRel1,steak,shredded cheese
279,CoRel1,steak,chopped
280,CoRel1,steak,red pepper flakes
281,CoRel1,steak,feta cheese
282,CoRel1,steak,bean sprouts
283,CoRel1,steak,kalamata
284,CoRel1,steak,romaine
285,CoRel1,steak,pickles
286,CoRel1,steak,cucumber
287,CoRel1,steak,sliced
288,CoRel1,steak,avocado
289,CoRel1,steak,seeds
290,CoRel1,steak,pickled carrots
291,CoRel1,steak,pico
292,CoRel1,steak,processed cheese
293,CoRel1,steak,sprouts
294,CoRel1,steak,scallions
295,CoRel1,steak,slivers
296,CoRel1,steak,chilis
297,CoRel1,steak,chilies
298,CoRel1,steak,pico de gallo
299,CoRel1,steak,celery
300,CoRel1,steak,mash potatoes
301,CoRel1,steak,peppercorn sauce
302,CoRel1,steak,chilaquiles
303,CoRel1,steak,cornbread
304,CoRel1,steak,chimichurri
305,CoRel1,steak,smothered
306,CoRel1,steak,shepherds pie
307,CoRel1,steak,meatloaf
308,CoRel1,steak,grits
309,CoRel1,steak,red beans and rice
310,CoRel1,steak,biscuits
311,CoRel1,steak,mash
312,CoRel1,steak,grandmas
313,CoRel1,steak,baked beans
314,CoRel1,steak,chile verde
315,CoRel1,steak,po boy
316,CoRel1,steak,bangers
317,CoRel1,steak,hush puppies
318,CoRel1,steak,frites
319,CoRel1,steak,gravy
320,CoRel1,steak,meat loaf
321,CoRel1,steak,hushpuppies
322,CoRel1,steak,potato
323,CoRel1,steak,short rib
324,CoRel1,steak,latkes
325,CoRel1,steak,yuca
326,CoRel1,steak,corn fritters
327,CoRel1,steak,catfish
328,CoRel1,steak,plantains
329,CoRel1,steak,tostones
330,CoRel1,steak,collard greens
331,CoRel1,steak,chile rellenos
332,CoRel1,steak,cob
333,CoRel1,steak,mac cheese
334,CoRel1,steak,homemade potato chips
335,CoRel1,steak,cuban
336,CoRel1,steak,sweet potato tots
337,CoRel1,steak,carnita
338,CoRel1,steak,yams
339,CoRel1,steak,corn
340,CoRel1,steak,smashed potatoes
341,CoRel1,steak,plantain
342,CoRel1,steak,collards
343,CoRel1,steak,empanadas
344,CoRel1,steak,cordon bleu
345,CoRel1,steak,tator tots
346,CoRel1,steak,chicken mole
347,CoRel1,steak,homemade chips
348,CoRel1,steak,ranchero
349,CoRel1,steak,fried okra
350,CoRel1,steak,sauteed mushrooms
351,CoRel1,steak,fingerling potatoes
352,CoRel1,steak,wild mushrooms
353,CoRel1,steak,foie gras
354,CoRel1,steak,truffle
355,CoRel1,steak,truffles
356,CoRel1,steak,risotto
357,CoRel1,steak,agnolotti
358,CoRel1,steak,fois gras
359,CoRel1,steak,gnocchi
360,CoRel1,steak,caramelized onions
361,CoRel1,steak,ravioli
362,CoRel1,steak,tagliatelle
363,CoRel1,steak,earthy
364,CoRel1,steak,aged
365,CoRel1,steak,budino
366,CoRel1,steak,fig
367,CoRel1,steak,truffled
368,CoRel1,steak,sherry
369,CoRel1,steak,burrata
370,CoRel1,steak,mushroom
371,CoRel1,steak,rich
372,CoRel1,steak,marmalade
373,CoRel1,steak,manchego
374,CoRel1,steak,steak tartare
375,CoRel1,steak,pecorino
376,CoRel1,steak,decadent
377,CoRel1,steak,amuse bouche
378,CoRel1,steak,foie
379,CoRel1,steak,delicate
380,CoRel1,steak,tartine
381,CoRel1,steak,exquisite
382,CoRel1,steak,escargot
383,CoRel1,steak,sage
384,CoRel1,steak,rabbit
385,CoRel1,steak,brown butter
386,CoRel1,steak,chard
387,CoRel1,steak,puff pastry
388,CoRel1,steak,hazelnuts
389,CoRel1,steak,arancini
390,CoRel1,steak,fennel
391,CoRel1,steak,mousse
392,CoRel1,steak,funghi
393,CoRel1,steak,gratin
394,CoRel1,steak,terrine
395,CoRel1,steak,fig jam
396,CoRel1,steak,pappardelle
397,CoRel1,steak,bisque
398,CoRel1,steak,figs
399,CoRel1,steak,divine
400,CoRel1,crispy,butterscotch
401,CoRel1,crispy,caramel
402,CoRel1,crispy,cream cheese frosting
403,CoRel1,crispy,chocolate
404,CoRel1,crispy,carmel
405,CoRel1,crispy,white chocolate
406,CoRel1,crispy,whipped cream
407,CoRel1,crispy,pecan
408,CoRel1,crispy,cinnamon
409,CoRel1,crispy,toffee
410,CoRel1,crispy,fudge
411,CoRel1,crispy,powdered sugar
412,CoRel1,crispy,apple pie
413,CoRel1,crispy,ganache
414,CoRel1,crispy,nutella
415,CoRel1,crispy,dark chocolate
416,CoRel1,crispy,salted caramel
417,CoRel1,crispy,chocolate cake
418,CoRel1,crispy,vanilla
419,CoRel1,crispy,glazed donut
420,CoRel1,crispy,bread pudding
421,CoRel1,crispy,pecan pie
422,CoRel1,crispy,graham cracker
423,CoRel1,crispy,crumb
424,CoRel1,crispy,swirl
425,CoRel1,crispy,icing
426,CoRel1,crispy,shortbread
427,CoRel1,crispy,chocolate chips
428,CoRel1,crispy,brownie
429,CoRel1,crispy,peanut butter
430,CoRel1,crispy,marshmallow
431,CoRel1,crispy,maple
432,CoRel1,crispy,rocky road
433,CoRel1,crispy,bananas
434,CoRel1,crispy,blueberry
435,CoRel1,crispy,hazelnut
436,CoRel1,crispy,black forest
437,CoRel1,crispy,toasted coconut
438,CoRel1,crispy,red velvet cake
439,CoRel1,crispy,peanut butter cup
440,CoRel1,crispy,compote
441,CoRel1,crispy,raspberry
442,CoRel1,crispy,chocolate chip cookie
443,CoRel1,crispy,mint chocolate
444,CoRel1,crispy,chocolate brownie
445,CoRel1,crispy,chocolate chip
446,CoRel1,crispy,crumble
447,CoRel1,crispy,foster
448,CoRel1,crispy,frosting
449,CoRel1,crispy,strawberries
450,CoRel1,crispy,ground pork
451,CoRel1,crispy,bok choy
452,CoRel1,crispy,rice paper
453,CoRel1,crispy,seaweed
454,CoRel1,crispy,soy sauce
455,CoRel1,crispy,bean sprouts
456,CoRel1,crispy,scallions
457,CoRel1,crispy,raw beef
458,CoRel1,crispy,gyoza
459,CoRel1,crispy,green onions
460,CoRel1,crispy,miso
461,CoRel1,crispy,daikon
462,CoRel1,crispy,noodle soup
463,CoRel1,crispy,wonton
464,CoRel1,crispy,fried tofu
465,CoRel1,crispy,soba
466,CoRel1,crispy,stir fried
467,CoRel1,crispy,vermicelli
468,CoRel1,crispy,udon
469,CoRel1,crispy,brown sauce
470,CoRel1,crispy,sesame oil
471,CoRel1,crispy,fried squid
472,CoRel1,crispy,rice noodles
473,CoRel1,crispy,squid
474,CoRel1,crispy,wontons
475,CoRel1,crispy,miso soup
476,CoRel1,crispy,stir fry
477,CoRel1,crispy,bamboo
478,CoRel1,crispy,rice cakes
479,CoRel1,crispy,yam
480,CoRel1,crispy,eel
481,CoRel1,crispy,spicy sauce
482,CoRel1,crispy,tamago
483,CoRel1,crispy,tako
484,CoRel1,crispy,nori
485,CoRel1,crispy,kimchi
486,CoRel1,crispy,shoots
487,CoRel1,crispy,shio ramen
488,CoRel1,crispy,cucumber
489,CoRel1,crispy,pickled radish
490,CoRel1,crispy,fish sauce
491,CoRel1,crispy,yakisoba
492,CoRel1,crispy,jap
493,CoRel1,crispy,bulgogi
494,CoRel1,crispy,chasu
495,CoRel1,crispy,noodle
496,CoRel1,crispy,noddles
497,CoRel1,crispy,noodle dish
498,CoRel1,crispy,sesame seeds
499,CoRel1,crispy,donburi
500,CoRel1,dessert,sticky rice
501,CoRel1,dessert,ginger
502,CoRel1,dessert,papaya
503,CoRel1,dessert,mango
504,CoRel1,dessert,panang curry
505,CoRel1,dessert,coconut
506,CoRel1,dessert,tom yum soup
507,CoRel1,dessert,penang
508,CoRel1,dessert,tamarind
509,CoRel1,dessert,satay
510,CoRel1,dessert,lemongrass
511,CoRel1,dessert,panang
512,CoRel1,dessert,peanut sauce
513,CoRel1,dessert,drunken noodles
514,CoRel1,dessert,cashew
515,CoRel1,dessert,pad thai
516,CoRel1,dessert,lettuce wraps
517,CoRel1,dessert,larb
518,CoRel1,dessert,thai basil
519,CoRel1,dessert,crunch roll
520,CoRel1,dessert,coconut milk
521,CoRel1,dessert,yellow curry
522,CoRel1,dessert,drunken noodle
523,CoRel1,dessert,massaman curry
524,CoRel1,dessert,fried tofu
525,CoRel1,dessert,pineapple
526,CoRel1,dessert,khao soi
527,CoRel1,dessert,curry
528,CoRel1,dessert,fried banana
529,CoRel1,dessert,fried dumplings
530,CoRel1,dessert,fish cakes
531,CoRel1,dessert,summer rolls
532,CoRel1,dessert,kha
533,CoRel1,dessert,peanut
534,CoRel1,dessert,thai curry
535,CoRel1,dessert,wontons
536,CoRel1,dessert,thai style
537,CoRel1,dessert,fried squid
538,CoRel1,dessert,chili pepper
539,CoRel1,dessert,tom yum
540,CoRel1,dessert,lime
541,CoRel1,dessert,pad see ew
542,CoRel1,dessert,sweet chili sauce
543,CoRel1,dessert,gai
544,CoRel1,dessert,medium spice
545,CoRel1,dessert,fried rice
546,CoRel1,dessert,crispy rice
547,CoRel1,dessert,noodle dish
548,CoRel1,dessert,spring rolls
549,CoRel1,dessert,tofu
550,CoRel1,dessert,brownie
551,CoRel1,dessert,cookie
552,CoRel1,dessert,peanut butter
553,CoRel1,dessert,cookie dough
554,CoRel1,dessert,vanilla
555,CoRel1,dessert,cone
556,CoRel1,dessert,ice cream
557,CoRel1,dessert,sundae
558,CoRel1,dessert,fudge
559,CoRel1,dessert,cupcake
560,CoRel1,dessert,chocolate syrup
561,CoRel1,dessert,chocolate chip cookie
562,CoRel1,dessert,reese
563,CoRel1,dessert,marshmallow
564,CoRel1,dessert,hot fudge
565,CoRel1,dessert,oreo cookie
566,CoRel1,dessert,brownie sundae
567,CoRel1,dessert,cookie monster
568,CoRel1,dessert,caramel
569,CoRel1,dessert,waffle cone
570,CoRel1,dessert,chocolate
571,CoRel1,dessert,blizzard
572,CoRel1,dessert,sugar cookie
573,CoRel1,dessert,thrifty
574,CoRel1,dessert,birthday cake
575,CoRel1,dessert,mint chocolate chip
576,CoRel1,dessert,toffee
577,CoRel1,dessert,milkshake
578,CoRel1,dessert,ganache
579,CoRel1,dessert,sprinkles
580,CoRel1,dessert,macaron
581,CoRel1,dessert,salted caramel
582,CoRel1,dessert,ice cream cone
583,CoRel1,dessert,oreo
584,CoRel1,dessert,sundaes
585,CoRel1,dessert,graham cracker
586,CoRel1,dessert,churro
587,CoRel1,dessert,icecream
588,CoRel1,dessert,chocolate chips
589,CoRel1,dessert,chocolate brownie
590,CoRel1,dessert,cake batter
591,CoRel1,dessert,more
592,CoRel1,dessert,donut
593,CoRel1,dessert,soft serve
594,CoRel1,dessert,double chocolate
595,CoRel1,dessert,chocolate shake
596,CoRel1,dessert,brittle
597,CoRel1,dessert,oreos
598,CoRel1,dessert,icing
599,CoRel1,dessert,doughnut
600,CoRel1,dessert,macaroons
601,CoRel1,dessert,pastries
602,CoRel1,dessert,cookies
603,CoRel1,dessert,tarts
604,CoRel1,dessert,brownies
605,CoRel1,dessert,chocolates
606,CoRel1,dessert,cakes
607,CoRel1,dessert,baked goods
608,CoRel1,dessert,sweets
609,CoRel1,dessert,cupcakes
610,CoRel1,dessert,cake pops
611,CoRel1,dessert,macarons
612,CoRel1,dessert,eclairs
613,CoRel1,dessert,treats
614,CoRel1,dessert,gelato
615,CoRel1,dessert,bakery
616,CoRel1,dessert,pies
617,CoRel1,dessert,cheesecakes
618,CoRel1,dessert,croissants
619,CoRel1,dessert,bakeries
620,CoRel1,dessert,donuts
621,CoRel1,dessert,doughnuts
622,CoRel1,dessert,danishes
623,CoRel1,dessert,sweet treats
624,CoRel1,dessert,gelatos
625,CoRel1,dessert,chocolate chip cookies
626,CoRel1,dessert,scones
627,CoRel1,dessert,candies
628,CoRel1,dessert,quiches
629,CoRel1,dessert,cannolis
630,CoRel1,dessert,breads
631,CoRel1,dessert,cupcakery
632,CoRel1,dessert,gifts
633,CoRel1,dessert,bakers
634,CoRel1,dessert,donut shops
635,CoRel1,dessert,desserts
636,CoRel1,dessert,cinnamon rolls
637,CoRel1,dessert,apple fritters
638,CoRel1,dessert,deserts
639,CoRel1,dessert,crepes
640,CoRel1,dessert,cream puffs
641,CoRel1,dessert,sugar cookies
642,CoRel1,dessert,bagels
643,CoRel1,dessert,biscotti
644,CoRel1,dessert,muffins
645,CoRel1,dessert,tasty treats
646,CoRel1,dessert,homemade ice cream
647,CoRel1,dessert,baking
648,CoRel1,dessert,chocolate dipped
649,CoRel1,dessert,souvenirs
650,CoRel1,dessert,corned beef hash
651,CoRel1,dessert,pancakes
652,CoRel1,dessert,pancake
653,CoRel1,dessert,french toast
654,CoRel1,dessert,benedict
655,CoRel1,dessert,eggs benedict
656,CoRel1,dessert,hashbrowns
657,CoRel1,dessert,hash browns
658,CoRel1,dessert,scramble
659,CoRel1,dessert,hash
660,CoRel1,dessert,omelette
661,CoRel1,dessert,omelet
662,CoRel1,dessert,red velvet pancakes
663,CoRel1,dessert,hotcakes
664,CoRel1,dessert,scrambled eggs
665,CoRel1,dessert,omelets
666,CoRel1,dessert,egg benedict
667,CoRel1,dessert,omelettes
668,CoRel1,dessert,country fried steak
669,CoRel1,dessert,eggs benny
670,CoRel1,dessert,home fries
671,CoRel1,dessert,corn beef hash
672,CoRel1,dessert,biscuits
673,CoRel1,dessert,biscuits gravy
674,CoRel1,dessert,skillets
675,CoRel1,dessert,huevos rancheros
676,CoRel1,dessert,breakfast potatoes
677,CoRel1,dessert,sausage links
678,CoRel1,dessert,scrambler
679,CoRel1,dessert,chicken fried steak
680,CoRel1,dessert,benny
681,CoRel1,dessert,biscuit
682,CoRel1,dessert,scrambled
683,CoRel1,dessert,eggs
684,CoRel1,dessert,poached eggs
685,CoRel1,dessert,toast
686,CoRel1,dessert,short stack
687,CoRel1,dessert,sausage patties
688,CoRel1,dessert,sourdough toast
689,CoRel1,dessert,benedicts
690,CoRel1,dessert,skillet
691,CoRel1,dessert,frittata
692,CoRel1,dessert,breakfasts
693,CoRel1,dessert,breakfast burrito
694,CoRel1,dessert,veggie omelet
695,CoRel1,dessert,hash brown
696,CoRel1,dessert,cinnamon roll
697,CoRel1,dessert,stuffed french toast
698,CoRel1,dessert,loco moco
699,CoRel1,dessert,omlette
700,CoRel1,dessert,polenta
701,CoRel1,dessert,stuffed
702,CoRel1,dessert,fingerling potatoes
703,CoRel1,dessert,confit
704,CoRel1,dessert,foie gras
705,CoRel1,dessert,duck
706,CoRel1,dessert,brussel sprouts
707,CoRel1,dessert,scotch egg
708,CoRel1,dessert,short rib
709,CoRel1,dessert,brussels sprouts
710,CoRel1,dessert,quail
711,CoRel1,dessert,portobello mushroom
712,CoRel1,dessert,fried green tomato
713,CoRel1,dessert,croquettes
714,CoRel1,dessert,medallions
715,CoRel1,dessert,brussels
716,CoRel1,dessert,broccolini
717,CoRel1,dessert,tartare
718,CoRel1,dessert,saut ed onions
719,CoRel1,dessert,skirt steak
720,CoRel1,dessert,wild mushrooms
721,CoRel1,dessert,fois gras
722,CoRel1,dessert,bone marrow
723,CoRel1,dessert,shrooms
724,CoRel1,dessert,truffled
725,CoRel1,dessert,tuna tartar
726,CoRel1,dessert,au gratin
727,CoRel1,dessert,pork belly
728,CoRel1,dessert,roasted cauliflower
729,CoRel1,dessert,grilled asparagus
730,CoRel1,dessert,potato puree
731,CoRel1,dessert,creamed spinach
732,CoRel1,dessert,perfectly grilled
733,CoRel1,dessert,perfectly seasoned
734,CoRel1,dessert,kobe
735,CoRel1,dessert,potato
736,CoRel1,dessert,smashed potatoes
737,CoRel1,dessert,smoked gouda
738,CoRel1,dessert,beef tartare
739,CoRel1,dessert,whipped potatoes
740,CoRel1,dessert,sauteed onions
741,CoRel1,dessert,tomato jam
742,CoRel1,dessert,short ribs
743,CoRel1,dessert,pork shank
744,CoRel1,dessert,steak tartare
745,CoRel1,dessert,succulent
746,CoRel1,dessert,mashed potato
747,CoRel1,dessert,pork tenderloin
748,CoRel1,dessert,gratin
749,CoRel1,dessert,grilled
750,CoRel1,dessert,fresh fruits
751,CoRel1,dessert,fruits
752,CoRel1,dessert,vegetables
753,CoRel1,dessert,fresh fruit
754,CoRel1,dessert,veggies
755,CoRel1,dessert,add ins
756,CoRel1,dessert,fresh vegetables
757,CoRel1,dessert,fruit
758,CoRel1,dessert,grains
759,CoRel1,dessert,protein
760,CoRel1,dessert,proteins
761,CoRel1,dessert,oranges
762,CoRel1,dessert,fruit salad
763,CoRel1,dessert,herbs
764,CoRel1,dessert,greens
765,CoRel1,dessert,grilled veggies
766,CoRel1,dessert,fresh greens
767,CoRel1,dessert,fillers
768,CoRel1,dessert,salad bar
769,CoRel1,dessert,meats
770,CoRel1,dessert,spring mix
771,CoRel1,dessert,ingredients
772,CoRel1,dessert,fresh produce
773,CoRel1,dessert,asian foods
774,CoRel1,dessert,garnishes
775,CoRel1,dessert,organic
776,CoRel1,dessert,carrots
777,CoRel1,dessert,variety
778,CoRel1,dessert,grilled meats
779,CoRel1,dessert,bountiful
780,CoRel1,dessert,unique items
781,CoRel1,dessert,choices
782,CoRel1,dessert,veg
783,CoRel1,dessert,tomatos
784,CoRel1,dessert,organic produce
785,CoRel1,dessert,starch
786,CoRel1,dessert,prepackaged
787,CoRel1,dessert,abundant
788,CoRel1,dessert,roasted vegetables
789,CoRel1,dessert,quinoa
790,CoRel1,dessert,accompaniments
791,CoRel1,dessert,watercress
792,CoRel1,dessert,stir fry
793,CoRel1,dessert,packaged
794,CoRel1,dessert,portioned
795,CoRel1,dessert,vegetable
796,CoRel1,dessert,fixings
797,CoRel1,dessert,large portion
798,CoRel1,dessert,low fat
799,CoRel1,dessert,diced
800,CoRel1,dessert,drip coffee
801,CoRel1,dessert,dark roast
802,CoRel1,dessert,espresso
803,CoRel1,dessert,americano
804,CoRel1,dessert,cappuccino
805,CoRel1,dessert,hot chocolate
806,CoRel1,dessert,french press
807,CoRel1,dessert,coffe
808,CoRel1,dessert,cortado
809,CoRel1,dessert,latte
810,CoRel1,dessert,decaf
811,CoRel1,dessert,mug
812,CoRel1,dessert,cup
813,CoRel1,dessert,iced coffee
814,CoRel1,dessert,cold brew
815,CoRel1,dessert,flat white
816,CoRel1,dessert,soy latte
817,CoRel1,dessert,coffees
818,CoRel1,dessert,coffee
819,CoRel1,dessert,barista
820,CoRel1,dessert,cartel
821,CoRel1,dessert,macchiato
822,CoRel1,dessert,illy
823,CoRel1,dessert,americanos
824,CoRel1,dessert,iced mocha
825,CoRel1,dessert,lattes
826,CoRel1,dessert,beverage
827,CoRel1,dessert,mocha
828,CoRel1,dessert,iced
829,CoRel1,dessert,chai latte
830,CoRel1,dessert,drip
831,CoRel1,dessert,brewed coffee
